Wavelength,PTP Emission,PTP Absorption,G2P Emission,G2P Absorption,Extrapolated
200.00,0.00000000,0.00000000,0.00000000,1.000000,True
201.00,0.00000000,0.00000000,0.00000000,1.000000,True
202.00,0.00000000,0.00000000,0.00000000,1.000000,True
203.00,0.00000000,0.00000000,0.00000000,1.000000,True
204.00,0.00000000,0.00000000,0.00000000,1.000000,True
205.00,0.00000000,0.00000000,0.00000000,1.000000,True
206.00,0.00000000,0.00000000,0.00000000,1.000000,True
207.00,0.00000000,0.00000000,0.00000000,1.000000,True
208.00,0.00000000,0.00000000,0.00000000,1.000000,True
209.00,0.00000000,0.00000000,0.00000000,1.000000,True
210.00,0.00000000,0.00000000,0.00000000,1.000000,True
211.00,0.00000000,0.00000000,0.00000000,1.000000,True
212.00,0.00000000,0.00000000,0.00000000,1.000000,True
213.00,0.00000000,0.00000000,0.00000000,1.000000,True
214.00,0.00000000,0.00000000,0.00000000,1.000000,True
215.00,0.00000000,0.00000000,0.00000000,1.000000,True
216.00,0.00000000,0.00000000,0.00000000,1.000000,True
217.00,0.00000000,0.00000000,0.00000000,1.000000,True
218.00,0.00000000,0.17923020,0.00000000,1.000000,True
219.00,0.00000000,0.36117133,0.00000000,1.000000,True
220.00,0.00000000,0.51087369,0.00000000,1.000000,True
221.00,0.00000000,0.47688200,0.00000000,1.000000,True
222.00,0.00000000,0.44289031,0.00000000,1.000000,True
223.00,0.00000000,0.40668102,0.00000000,1.000000,True
224.00,0.00000000,0.36561336,0.00000000,1.000000,True
225.00,0.00000000,0.32454570,0.00000000,1.000000,True
226.00,0.00000000,0.28816449,0.00000000,1.000000,True
227.00,0.00000000,0.25690933,0.00000000,1.000000,True
228.00,0.00000000,0.22565417,0.00000000,1.000000,True
229.00,0.00000000,0.20165751,0.00000000,1.000000,True
230.00,0.00000000,0.18171194,0.00000000,1.000000,True
231.00,0.00000000,0.16176638,0.00000000,1.000000,True
232.00,0.00000000,0.15372268,0.00000000,1.000000,True
233.00,0.00000000,0.14854371,0.00000000,1.000000,True
234.00,0.00000000,0.14336473,0.00000000,1.000000,True
235.00,0.00000000,0.14945622,0.00000000,1.000000,True
236.00,0.00000000,0.15589508,0.00000000,1.000000,True
237.00,0.00000000,0.16318658,0.00000000,1.000000,True
238.00,0.00000000,0.17597420,0.00000000,1.000000,True
239.00,0.00000000,0.18876182,0.00000000,1.000000,True
240.00,0.00000000,0.20378591,0.00000000,1.000000,True
241.00,0.00000000,0.22406589,0.00000000,1.000000,True
242.00,0.00000000,0.24434587,0.00000000,1.000000,True
243.00,0.00000000,0.26670717,0.00000000,1.000000,True
244.00,0.00000000,0.29148535,0.00000000,1.000000,True
245.00,0.00000000,0.31626352,0.00000000,1.000000,True
246.00,0.00000000,0.34412275,0.00000000,1.000000,True
247.00,0.00000000,0.37381566,0.00000000,1.000000,True
248.00,0.00000000,0.40350857,0.00000000,1.000000,True
249.00,0.00000000,0.43734974,0.00000000,1.000000,True
250.00,0.00000000,0.47228697,0.00000000,1.000000,True
251.00,0.00000000,0.50722420,0.00000000,1.000000,True
252.00,0.00000000,0.54290457,0.00000000,1.000000,True
253.00,0.00000000,0.57861980,0.00000000,1.000000,True
254.00,0.00000000,0.61461040,0.00000000,1.000000,True
255.00,0.00000000,0.65263191,0.00000000,1.000000,True
256.00,0.00000000,0.69065341,0.00000000,1.000000,True
257.00,0.00000000,0.72813929,0.00000000,1.000000,True
258.00,0.00000000,0.76427211,0.00000000,1.000000,True
259.00,0.00000000,0.80040493,0.00000000,1.000000,True
260.00,0.00000000,0.83691969,0.00000000,1.000000,True
261.00,0.00000000,0.87390545,0.00000000,1.000000,True
262.00,0.00000000,0.91089121,0.00000000,1.000000,True
263.00,0.00000000,0.94384346,0.00000000,1.000000,True
264.00,0.00000000,0.97423744,0.00000000,1.000000,True
265.00,0.00000000,1.00463143,0.00000000,1.000000,True
266.00,0.00000000,1.02992870,0.00000000,0.999999,True
267.00,0.00000000,1.05375561,0.00000000,0.999999,True
268.00,0.00000000,1.07758251,0.00000000,0.999999,True
269.00,0.00000000,1.09222508,0.00000000,0.999999,True
270.00,0.00000000,1.10628453,0.00000000,0.999999,True
271.00,0.00000000,1.11949855,0.00000000,0.999999,True
272.00,0.00000000,1.12546784,0.00000000,0.999999,True
273.00,0.00000000,1.13143713,0.00000000,0.999999,True
274.00,0.00000000,1.13580247,0.00000000,0.999998,True
275.00,0.00000000,1.13580247,0.00000000,0.999998,True
276.00,0.00000000,1.13580247,0.00000000,0.999998,True
277.00,0.00000000,1.13200333,0.00000000,0.999998,True
278.00,0.00000000,1.12322527,0.00000000,0.999998,True
279.00,0.00000000,1.11444721,0.00000000,0.999997,True
280.00,0.00000000,1.10128827,0.00000000,0.999997,True
281.00,0.00000000,1.08517206,0.00000000,0.999997,True
282.00,0.00000000,1.06905585,0.00000000,0.999996,True
283.00,0.00000000,1.04787219,0.00000000,0.999996,True
284.00,0.00000000,1.02509879,0.00000000,0.999995,True
285.00,0.00000000,1.00232540,0.00000000,0.999995,True
286.00,0.00000000,0.97054847,0.00000000,0.999994,True
287.00,0.00000000,0.93804574,0.00000000,0.999993,True
288.00,0.00000000,0.90526335,0.00000000,0.999993,True
289.00,0.00000000,0.86963948,0.00000000,0.999992,True
290.00,0.00000000,0.83401561,0.00000000,0.999991,True
291.00,0.00000000,0.79724716,0.00000000,0.999990,True
292.00,0.00000000,0.75711171,0.00000000,0.999989,True
293.00,0.00000000,0.71697626,0.00000000,0.999988,True
294.00,0.00000000,0.67807035,0.00000000,0.999986,True
295.00,0.00000000,0.64087710,0.00000000,0.999985,True
296.00,0.00000000,0.60368384,0.00000000,0.999983,True
297.00,0.00000000,0.56360692,0.00000000,0.999981,True
298.00,0.00000000,0.52145976,0.00000000,0.999979,True
299.00,0.00000000,0.47931259,0.00000000,0.999977,True
300.00,0.00017451,0.44057644,0.00000000,0.999975,True
301.00,0.00040834,0.40299984,0.00000000,0.999973,True
302.00,0.00064218,0.36542324,0.00000000,0.999970,True
303.00,0.00086924,0.33089314,0.00000000,0.999967,True
304.00,0.00109563,0.29666287,0.00000000,0.999964,True
305.00,0.00133598,0.26301170,0.00000000,0.999960,True
306.00,0.00174938,0.23654410,0.00000000,0.999956,True
307.00,0.00216277,0.21007650,0.00000000,0.999952,True
308.00,0.00270307,0.18512499,0.00000000,0.999948,True
309.00,0.00364787,0.16500615,0.00000000,0.999943,True
310.00,0.00459267,0.14488731,0.00000000,0.999938,True
311.00,0.00580740,0.12706516,0.00000000,0.999932,True
312.00,0.00742203,0.11264530,0.00000000,0.999926,True
313.00,0.00903665,0.09822544,0.00000000,0.999919,True
314.00,0.01069587,0.08569771,0.00000000,0.999912,True
315.00,0.01238913,0.07461376,0.00000000,0.999905,True
316.00,0.01408238,0.06352982,0.00000000,0.999896,True
317.00,0.01571418,0.05476701,0.00000000,0.999888,True
318.00,0.01732339,0.04685706,0.00000000,0.999878,True
319.00,0.01893260,0.03894710,0.00000000,0.999868,True
320.00,0.02007200,0.03543923,0.00000000,0.999857,True
321.00,0.02115657,0.03244505,0.00000000,0.999845,True
322.00,0.02218094,0.02942171,0.00000000,0.999832,True
323.00,0.02225700,0.02593890,0.00000000,0.999818,True
324.00,0.02233306,0.02245610,0.00000000,0.999804,True
325.00,0.02232023,0.02013135,0.00000000,0.999788,True
326.00,0.02199930,0.02182077,0.00000000,0.999771,True
327.00,0.02167837,0.02351019,0.00000000,0.999754,True
328.00,0.02159727,0.02383855,0.00000000,0.999735,True
329.00,0.02189429,0.02202096,0.00000000,0.999714,True
330.00,0.02219132,0.02020338,0.00000000,0.999692,True
331.00,0.02277018,0.01688739,0.00000000,0.999669,True
332.00,0.02357758,0.01235628,0.00000000,0.999645,True
333.00,0.02438499,0.00782516,0.00000000,0.999618,True
334.00,0.02503677,0.00863055,0.00000000,0.999590,True
335.00,0.02562695,0.01154848,0.00000000,0.999561,True
336.00,0.02621712,0.01446641,0.00000000,0.999529,True
337.00,0.02628869,0.01481481,0.00000000,0.999495,True
338.00,0.02628993,0.01481481,0.00000000,0.999460,True
339.00,0.02626474,0.01473680,0.00000000,0.999422,True
340.00,0.02567586,0.01299539,0.00000000,0.999382,True
341.00,0.02508699,0.01125399,0.00000000,0.999340,True
342.00,0.02445204,0.00970054,0.00000000,0.999295,True
343.00,0.02364269,0.00885846,0.00000000,0.999247,True
344.00,0.02283334,0.00801638,0.00000000,0.999197,True
345.00,0.02214808,0.00845239,0.00000000,0.999144,True
346.00,0.02167131,0.01103590,0.00000000,0.999088,True
347.00,0.02119455,0.01361942,0.00000000,0.999029,True
348.00,0.02088580,0.01603722,0.00000000,0.998966,True
349.00,0.02072173,0.01831231,0.00000000,0.998901,True
350.00,0.02055766,0.02058740,0.00000000,0.995311,False
351.00,0.02042839,0.01775974,0.00000000,0.995311,False
352.00,0.02031392,0.01276079,0.00000000,0.996170,False
353.00,0.02019945,0.00776183,0.00000000,0.996812,False
354.00,0.01992319,0.00794099,0.00000000,0.996993,False
355.00,0.01962182,0.00892345,0.00000000,0.997402,False
356.00,0.01931362,0.00992861,0.00000000,0.997625,False
357.00,0.01878370,0.01166995,0.00000000,0.997625,False
358.00,0.01825378,0.01341129,0.00000000,0.997625,False
359.00,0.01770060,0.01415528,0.00000000,0.997625,False
360.00,0.01705075,0.01075565,0.00000000,0.997625,False
361.00,0.01640089,0.00735601,0.00000000,0.997625,False
362.00,0.01576986,0.00585314,0.00000000,0.997625,False
