Energy (MeV),Livermore,GKVM,Garching
0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.4,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.8,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.2,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.6,0.0,0.0,0.0
1.8,0.0,0.0,0.0
2.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0
2.4,0.0,0.0,0.0
2.6,0.0,0.0,0.0
2.8,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0
3.4,0.0,0.0,0.0
3.6,0.0,0.0,0.0
3.8,0.005477713548298341,0.001170593633887685,0.003985136098044738
4.0,0.01180649788363251,0.002538028335247649,0.008686297490542942
4.2,0.02482405777297027,0.005370351191569303,0.01843377777710504
4.4,0.04171801332454579,0.009104394994800046,0.03121352294711602
4.6,0.06334502821903842,0.013973395190884938,0.04768023289923228
4.8,0.08998016861405246,0.020073352187734483,0.0680411315467673
5.0,0.12246612975463804,0.027625546537010624,0.09291694963540804
5.2,0.16047631421142433,0.036605619744435276,0.12202393800325557
5.4,0.20670111523197363,0.04768298381685963,0.1573544584650557
5.6,0.25848986264883456,0.06030142492229273,0.19681781494599804
5.8,0.32796918164096867,0.07737774230393116,0.2495490750916439
6.0,0.41493926199877323,0.09906022098143341,0.31525033992228113
6.2,0.5153803496403346,0.12458355667926176,0.3906782897478347
6.4,0.629621469104119,0.1541543472518449,0.4758665251076523
6.6,0.7592194869060996,0.18826774085169104,0.5717445082916176
6.8,0.9033844939168207,0.22687844117411793,0.6774402368287783
7.0,1.0613367739181234,0.26968645749810627,0.7920667996785817
7.2,1.2337703515881628,0.3146783524088448,0.9158370112203176
7.4,1.418931938860107,0.3517394793083639,1.0471228549696627
7.6,1.6185479481067304,0.36913714468018527,1.1868631103348808
7.8,1.8299890254346969,0.38033950916552417,1.332787667390179
8.0,2.052634936743567,0.4058762134051243,1.4841211531650604
8.200000000000001,2.2876867496804523,0.44548757666219413,1.6414058219784196
8.4,2.533388679015467,0.4937126194346314,1.8030451600154935
8.6,2.7882379569337243,0.5481000211684586,1.9676717942629316
8.8,3.0512551487881434,0.6080662473958062,2.134306636536648
9.0,3.321713407495982,0.6736188963550598,2.30217973516747
9.2,3.5981454186534263,0.7446027365256142,2.470045148388962
9.4,3.8840468470703713,0.821650506846264,2.640065872221847
9.6,4.174711520918353,0.9036525517067409,2.808796524111361
9.799999999999999,4.469349221057853,0.9903361706406533,2.975516660680786
10.0,4.766938526185373,1.081493393008736,3.1394414644883386
10.200000000000001,5.066430909214151,1.1769246661428563,3.2997506442637454
